teamA,teamB,seedA,seedB,Seed_diff,W-L%_diff,SRS_diff,SOS_diff,Tm._diff,Opp._diff,MP_diff,FG_diff,FGA_diff,FG%_diff,3P_diff,3PA_diff,3P%_diff,FT_diff,FTA_diff,FT%_diff,ORB_diff,TRB_diff,AST_diff,STL_diff,BLK_diff,TOV_diff,PF_diff,seed_diff,winner
Howard,Wagner,16,16,0,-0.0010000000000000009,1.950000000000001,0.5600000000000005,520,517,85,110,19,0.05299999999999999,43,30,0.043999999999999984,257,311,0.04700000000000004,26,74,64,17,22,215,154,0,0
Colorado State,Virginia,10,10,0,0.017999999999999905,2.950000000000001,-0.02999999999999936,567,389,75,172,137,0.055999999999999994,44,166,-0.019999999999999962,179,165,0.11499999999999999,-15,96,139,-13,-56,102,153,0,1
Grambling State,Montana State,16,16,0,0.09699999999999998,-4.290000000000001,-1.0200000000000005,-199,-100,38,-81,-57,-0.028000000000000025,-134,-316,-0.03199999999999997,97,154,-0.020000000000000018,109,90,-109,-23,31,65,-70,0,1
Colorado,Boise State,10,10,0,0.03599999999999992,2.639999999999999,1.0099999999999998,456,433,165,191,208,0.045999999999999985,-4,-110,0.05099999999999999,78,58,0.04800000000000004,-16,136,196,32,2,101,-2,0,1
Stetson,UConn,16,1,15,-0.29600000000000004,-31.79,-11.94,-569,30,-195,-227,-314,-0.033999999999999975,-27,-94,0.007000000000000006,-88,-137,0.02300000000000002,-130,-337,-283,-59,-109,-14,-134,15,0
Florida Atlantic,Northwestern,8,9,-1,0.08799999999999997,0.4900000000000002,-3.8899999999999997,296,147,5,100,114,0.022999999999999965,6,97,-0.039000000000000035,90,151,-0.03200000000000003,106,226,-25,5,-1,88,-52,-1,0
UAB,San Diego State,12,5,-4,-0.04599999999999993,-9.54,-4.639999999999999,-31,160,-85,-17,-82,0.009000000000000008,-44,-164,0.01200000000000001,47,50,0.013000000000000012,19,-69,-8,-39,10,-7,-92,7,0
Yale,Auburn,13,4,9,-0.07400000000000007,-17.830000000000002,-7.25,-444,-165,-60,-91,-152,-0.008999999999999952,-39,-108,-0.0010000000000000009,-223,-266,-0.04300000000000004,-67,-118,-127,-54,-110,-58,-179,9,1
Duquesne,BYU,11,6,5,0.0,-11.979999999999999,-3.1800000000000006,-157,89,120,-71,-45,-0.02400000000000002,-99,-266,-0.007999999999999952,84,134,-0.02200000000000002,-16,-55,-132,75,59,69,32,5,1
Illinois,Morehead State,3,14,-11,0.020000000000000018,19.049999999999997,15.059999999999999,533,567,130,160,335,0.0019999999999999463,-12,-4,-0.01200000000000001,225,282,0.030000000000000027,79,182,-20,-40,-17,-12,23,-11,1
Washington State,Drake,7,10,-3,-0.08600000000000008,2.9399999999999995,5.3500000000000005,-223,-128,-25,-44,-33,-0.013999999999999957,-77,-161,-0.02699999999999997,-58,-35,-0.049000000000000044,113,115,-124,-45,116,46,12,-3,1
South Dakota State,Iowa State,15,2,13,-0.15500000000000003,-21.78,-11.21,-112,213,-70,-25,-135,0.01899999999999996,54,136,0.007000000000000006,-116,-172,0.008000000000000007,-104,-14,-132,-169,-1,8,-109,13,0
North Carolina,Wagner,1,16,-15,0.269,32.0,18.48,929,525,150,288,410,0.05399999999999999,63,112,0.03199999999999997,290,346,0.05500000000000005,83,337,115,19,75,47,104,-15,1
Michigan State,Mississippi State,9,8,1,-0.029000000000000026,3.5299999999999994,1.7300000000000004,-42,-105,0,32,31,0.009000000000000008,-24,-155,0.04199999999999998,-82,-156,0.03799999999999992,-83,-118,67,-36,25,-105,1,1,1
Saint Mary's,Grand Canyon,5,12,-7,-0.09199999999999997,5.859999999999999,3.98,-253,-333,-35,12,-1,0.006000000000000005,13,4,0.01599999999999996,-290,-332,-0.07299999999999995,36,10,126,-66,-62,-83,-69,-7,0
Charleston,Alabama,13,4,9,0.09499999999999997,-16.6,-14.18,-503,-431,-85,-130,-107,-0.033999999999999975,-45,-36,-0.02999999999999997,-198,-216,-0.050000000000000044,-15,-75,-51,-37,-54,-90,-176,9,0
Clemson,New Mexico,6,11,-5,-0.05499999999999994,1.1600000000000001,4.659999999999999,-131,18,10,-76,-228,0.013999999999999957,63,133,0.022999999999999965,-42,-126,0.07300000000000006,-136,-121,9,-147,-40,2,-47,-5,1
Colgate,Baylor,14,3,11,0.027999999999999914,-19.81,-16.26,-316,-247,-30,-38,-22,-0.014000000000000012,-29,-16,-0.030000000000000027,-211,-251,-0.050999999999999934,-113,16,12,-9,12,-53,-109,11,0
Nevada,Dayton,10,7,3,0.007000000000000006,-0.5999999999999996,-1.1500000000000004,134,83,40,50,108,0.0,-83,-152,-0.03600000000000003,117,181,-0.020000000000000018,37,60,28,32,-8,-1,152,3,0
Arizona,Long Beach State,2,15,-13,0.16700000000000004,25.73,10.639999999999999,351,-141,15,131,82,0.03999999999999998,90,139,0.061,-1,-11,0.008000000000000007,21,134,115,15,-18,-25,-30,-13,1
Longwood,Houston,16,1,15,-0.265,-27.73,-14.56,-105,264,-75,-50,-180,0.014000000000000012,-85,-231,-0.006999999999999951,80,117,0.0,-27,-31,-38,-118,-90,114,-19,15,0
Nebraska,Texas A&M,8,9,-1,0.09300000000000008,1.0099999999999998,-1.79,-93,-180,-75,-14,-287,0.04999999999999999,64,24,0.064,-129,-232,0.05300000000000005,-301,-261,109,-36,-19,31,-72,-1,0
James Madison,Wisconsin,12,5,7,0.278,-7.820000000000002,-15.1,307,-14,0,121,187,0.014999999999999958,51,118,0.01100000000000001,14,72,-0.052000000000000046,53,166,119,101,54,34,27,7,1
Duke,Vermont,4,13,-9,-0.050000000000000044,17.89,11.67,324,182,35,104,132,0.019999999999999962,-2,-87,0.034999999999999976,118,158,0.007000000000000006,115,107,73,29,-4,27,83,-9,1
Texas Tech,NC State,6,11,-10,0.04200000000000004,2.1500000000000004,0.34999999999999964,-540,-574,-295,-240,-540,0.0010000000000000009,4,-23,0.014000000000000012,-64,-130,0.04700000000000004,-77,-259,-35,-93,-62,-14,-156,-5,0
Oakland,Kentucky,14,3,11,-0.029999999999999916,-14.77,-8.7,-187,4,130,-89,34,-0.04899999999999999,-9,95,-0.05399999999999999,0,18,-0.02100000000000002,51,51,-57,-11,-107,44,-33,11,1
Colorado,Florida,10,7,3,0.03599999999999992,0.7799999999999994,-0.45000000000000107,-145,-197,30,-28,-230,0.03699999999999998,-26,-163,0.04600000000000004,-63,-159,0.06900000000000006,-159,-155,54,-20,-109,47,-116,3,1
Marquette,Western Kentucky,2,15,-13,0.08299999999999996,18.08,13.93,160,52,124,82,118,0.011999999999999955,94,242,0.011999999999999955,-98,-123,-0.017000000000000015,-39,-146,133,57,21,-101,-69,-13,1
Grambling State,Purdue,16,1,15,-0.28900000000000003,-34.56,-17.08,-775,-185,-117,-249,-317,-0.04799999999999999,-133,-241,-0.066,-144,-188,-0.01200000000000001,-130,-419,-366,54,-27,31,41,15,0
TCU,Utah State,9,8,3,-0.18200000000000005,3.0599999999999987,2.0300000000000002,-101,-58,-40,-35,53,-0.02999999999999997,-2,-46,0.020999999999999963,-29,-51,0.01100000000000001,101,9,3,67,-20,53,-1,1,0
McNeese,Gonzaga,12,5,7,0.11099999999999999,-11.51,-10.829999999999998,-240,-304,-40,-147,-165,-0.031000000000000028,14,-3,0.02200000000000002,40,85,-0.028000000000000025,3,-129,-79,117,-20,-13,42,7,0
Samford,Kansas,13,4,9,0.1529999999999999,-10.030000000000001,-14.55,443,231,35,94,185,0.0020000000000000018,156,302,0.063,99,135,0.0020000000000000018,91,24,-28,104,-2,58,165,9,0
South Carolina,Oregon,6,11,-5,0.09799999999999998,-1.2400000000000002,-2.4299999999999997,-271,-305,-83,-117,-175,-0.019000000000000017,11,31,0.0010000000000000009,-48,-60,-0.008000000000000007,30,-28,27,-96,-23,-22,-41,-5,0
Akron,Creighton,14,3,11,-0.027999999999999914,-17.3,-11.61,-238,-130,-30,-101,-83,-0.030999999999999972,-95,-155,-0.043999999999999984,59,124,-0.061000000000000054,69,-56,-133,63,-43,22,180,11,0
Texas,Colorado State,7,10,-3,-0.07599999999999996,2.51,2.13,-144,-80,-85,-48,-36,-0.015000000000000013,-19,-90,0.01699999999999996,-29,-42,0.0050000000000000044,56,-24,-136,18,36,17,-26,-3,1
Saint Peter's,Tennessee,15,2,13,-0.17400000000000004,-26.39,-15.75,-696,-313,-115,-259,-393,-0.046999999999999986,-123,-325,-0.01899999999999996,-55,-37,-0.039000000000000035,-8,-232,-250,-45,-29,47,11,13,0
Northwestern,UConn,9,1,8,-0.278,-13.93,-0.1999999999999993,-763,-188,-215,-285,-407,-0.04199999999999998,-62,-238,0.03200000000000003,-131,-183,0.009000000000000008,-179,-485,-218,-7,-111,-83,-52,8,0
Yale,San Diego State,13,5,8,-0.006000000000000005,-10.05,-7.959999999999999,-277,-241,-165,-35,-198,0.027000000000000024,-18,-135,0.035999999999999976,-189,-238,-0.026000000000000023,-106,-193,14,-71,-44,-97,-148,8,0
Duquesne,Illinois,11,3,8,-0.08699999999999997,-12.209999999999999,-4.859999999999999,-557,-320,-50,-183,-246,-0.032999999999999974,-38,-87,-0.008999999999999952,-153,-193,-0.016000000000000014,-97,-266,-9,111,17,32,58,8,0
Washington State,Iowa State,7,2,5,-0.07000000000000006,-8.280000000000001,-1.3199999999999994,-213,58,-70,-54,-118,0.0,-23,-29,-0.01899999999999996,-82,-119,0.0020000000000000018,-2,63,-147,-201,59,-4,-28,5,0
Michigan State,North Carolina,9,1,8,-0.21300000000000008,-3.6400000000000006,0.9900000000000002,-481,-296,-80,-97,-265,0.01100000000000001,-74,-213,0.0040000000000000036,-213,-240,-0.051000000000000045,-99,-305,22,34,-19,-23,-30,8,0
Alabama,Grand Canyon,4,12,-8,-0.18099999999999994,10.240000000000002,12.32,566,660,85,212,377,0.01599999999999996,168,379,0.03699999999999998,-26,-61,0.02300000000000002,60,132,163,-33,-30,8,109,-8,1
Clemson,Baylor,6,3,3,-0.019000000000000017,-3.3000000000000007,-0.6700000000000017,-29,74,20,24,114,-0.014000000000000012,-5,71,-0.038000000000000034,-72,-141,0.04800000000000004,-73,79,19,-71,28,-58,8,3,1
Arizona,Dayton,2,7,-5,-0.008000000000000007,11.09,3.719999999999999,689,401,140,293,569,0.010000000000000009,-26,-1,-0.03300000000000003,129,201,-0.02300000000000002,206,426,182,118,4,87,143,-5,1
Houston,Texas A&M,1,9,-8,0.28200000000000003,12.340000000000002,0.4800000000000004,-16,-459,45,55,-71,0.03699999999999998,31,-48,0.05499999999999999,-157,-203,-0.019999999999999907,-130,-167,72,112,70,-16,47,-8,1
Duke,James Madison,4,12,-8,-0.139,12.480000000000002,12.11,-165,-119,-15,-69,-142,-0.0010000000000000009,-9,-61,0.017000000000000015,-18,-46,0.020000000000000018,-32,-71,-26,-90,19,-43,-50,-8,1
NC State,Oakland,11,14,-3,-0.03300000000000003,10.790000000000001,10.17,350,308,195,151,317,0.0040000000000000036,-33,-68,-0.010000000000000009,81,127,-0.018000000000000016,32,155,14,60,48,-4,120,-3,1
Marquette,Colorado,2,10,-8,0.027000000000000024,3.3200000000000003,2.66,-47,-71,-10,29,135,-0.017000000000000015,73,279,-0.039000000000000035,-178,-168,-0.08100000000000007,-46,-155,-13,96,51,-98,8,-8,1
Utah State,Purdue,8,1,5,-0.07199999999999995,-13.37,-6.31,-423,-194,-155,-110,-236,0.0030000000000000027,-92,-110,-0.07100000000000001,-111,-155,0.0,-144,-323,-148,26,6,-57,58,7,0
Gonzaga,Kansas,5,4,1,0.09499999999999997,1.5799999999999983,-7.300000000000001,390,44,35,160,195,0.030000000000000027,48,87,0.02899999999999997,22,30,0.0,99,127,-62,-10,2,-55,44,1,1
Creighton,Oregon,3,11,-8,0.04699999999999993,7.85,0.6199999999999992,94,-156,-18,34,-44,0.025999999999999968,112,240,0.02999999999999997,-86,-169,0.06900000000000006,-63,96,91,-124,12,6,-188,-8,1
Tennessee,Texas,2,7,-5,0.132,5.899999999999999,1.0099999999999998,273,84,75,47,235,-0.02899999999999997,70,224,-0.01100000000000001,109,150,-0.006000000000000005,80,214,88,36,17,-26,42,-5,1
